dim0,dim1,scale,episode_rewards,episode_std_rewards,episode_value_ests,episode_values,episode_td_err,episode_avg_len,episode_std_avg_len,step_rewards,step_value_ests,step_values,step_td_err,dim0,dim1
-0.06666666666666667,0.3333333333333333,15,8.1657073741714,0.006153186836088703,0.8273295997189982,0.9223153687495704,0.025226231826538045,773.4092664092664,628.9488215632445,0.010558067673642714,0.8439274786813623,0.9669690585086835,0.023953057390150877,-1.0,5.0
1.0,-0.5333333333333333,15,8.370128181910422,0.005984630886172768,0.9992530401702273,0.9391815232897183,0.2182824232529686,778.5289575289576,665.2860404147436,0.01075120983100888,0.978266223337762,0.9831339001314634,0.18137467364140925,15.0,-8.0
-0.3333333333333333,0.5333333333333333,15,7.888376744893881,0.006234038278117702,0.7238539044807337,0.8617605431615031,0.03670335541573417,771.0653846153846,638.1928750188708,0.010230490049593765,0.7664322380655855,0.9421596678294326,0.036832929738128635,-5.0,8.0
0.5333333333333333,-0.8,15,8.217825069682288,0.006107886523653371,0.8632936422914886,0.9565538068913608,0.18021496287163324,764.2709923664122,566.570349483877,0.010752501601869564,0.8881374511430693,0.9827454080257608,0.1562450574158638,8.0,-12.0
0.26666666666666666,0.4666666666666667,15,7.790535660481364,0.005709354319916458,0.8357451056456481,0.9033449620290224,0.033493916145230264,745.550185873606,595.6303230042284,0.01044937793336169,0.8510132930863907,0.9587491256590306,0.03100020226619599,4.0,7.0
0.5333333333333333,0.6,15,8.130465759270226,0.006446010542402122,0.7997744470875928,0.931413917501263,0.04712078542271921,751.1044776119403,611.7369419115983,0.01082468018979225,0.7779722656380581,0.9934142767241667,0.04377345798330845,8.0,9.0
-1.0,-0.5333333333333333,15,8.318218171362783,0.0059480138954761605,0.6226840917308917,0.9680398976678231,0.4189270139409194,785.8980392156863,634.0642552613078,0.01058434778595991,0.6243553225543308,0.9644788674924214,0.3495819451542293,-15.0,-8.0
0.3333333333333333,0.26666666666666666,15,8.325782391015956,0.0065833205980667725,0.8629758073186213,0.9535333493340852,0.03382330027903588,750.3520599250936,618.2861866790158,0.011095834656397298,0.8928572167325751,1.0182604359990077,0.03184940702364841,5.0,4.0
-0.4666666666666667,-0.4,15,8.313499139156193,0.006061996285043823,0.7062795028352349,0.9304988450089964,0.12673482812746614,781.55078125,598.4031463372036,0.010637183582440687,0.7758273828175504,0.9749797111382884,0.09813298701305474,-7.0,-6.0
0.7333333333333333,-0.9333333333333333,15,8.238322902110315,0.005962156952367382,1.0151863476929088,0.9097321833730214,0.2852318631337065,810.0645161290323,702.0783632157693,0.010169958982375748,0.9870164725535934,0.92925954717284,0.2388733106891062,11.0,-14.0
0.6666666666666666,-0.3333333333333333,15,7.9298069247110625,0.0056072302383218045,0.9282349125175343,0.8914055333234765,0.09198949446401616,789.2007874015748,653.2120598377606,0.010047895353500301,0.9328037680358092,0.9217495991355307,0.07957490010562772,10.0,-5.0
-0.6666666666666666,0.2,15,8.350452229910688,0.006272619374876069,0.6917127000939094,0.9201400455700446,0.059481885912165605,793.2252964426877,619.8218287856126,0.010527213727750836,0.7246528714288802,0.9670590511954026,0.05343010103988632,-10.0,3.0
-1.0,0.6666666666666666,15,8.398711410741653,0.006334161913403752,0.4890363176915847,0.8862164384661887,0.09620475720258388,806.5201612903226,667.3630519753918,0.010413517000374618,0.536541665204888,0.9584190051119493,0.09145369445654095,-15.0,10.0
0.06666666666666667,-0.6,15,8.318558111725011,0.006017891199663986,0.8736522171032274,0.893468981332526,0.08493683042570739,833.5809128630706,669.5906864917634,0.009979304928124563,0.9133774801313205,0.9181981725792954,0.07338542447129201,1.0,-9.0
-0.8,-0.5333333333333333,15,8.006119457539171,0.0056369541129980445,0.6746526479367339,0.8878999220422191,0.28565823176240324,784.35546875,625.7780053047708,0.01020725905092272,0.7109414176577162,0.9342822473193042,0.23159148509557131,-12.0,-8.0
-0.9333333333333333,0.6666666666666666,15,8.247007541299805,0.006230558921989095,0.5159075139707188,0.9225122230225162,0.08555366963482045,793.0196850393701,651.3384248660503,0.010399499151008308,0.5623351815931258,0.9514922421197088,0.08113197419081437,-14.0,10.0
0.6666666666666666,-0.6,15,8.083207054780079,0.005704908266894108,0.8908387895468411,0.9060834770833817,0.14871928551314026,771.7192307692308,619.1303345569809,0.010474284859692998,0.9131701495282956,0.9544453394617143,0.12738737210405898,10.0,-9.0
0.06666666666666667,-0.3333333333333333,15,8.224106216803193,0.006495333516281887,0.8115597515012071,0.8845164600605397,0.04886708448295661,781.73828125,636.7191586343589,0.010520280782019326,0.8718912048050477,0.9652738226439455,0.043915452760194304,1.0,-5.0
-1.0,-0.2,15,8.211752175802161,0.005785829407613908,0.5668240484616803,0.886979188433309,0.20411587800033346,811.748987854251,673.0209507517559,0.01011612246971668,0.6062477667730805,0.9289928338425315,0.17043347211889742,-15.0,-3.0
0.4,0.8,15,7.88450166639292,0.006612344839533314,0.753078575243536,0.8778949319376236,0.05771403117835199,757.4150943396227,649.3269210022011,0.01040974985224883,0.7376338337525271,0.9568647431684542,0.05102656367275906,6.0,12.0
0.6,-0.6666666666666666,15,8.476245616735676,0.00606981078524821,0.9061391501003387,0.979628378464548,0.15067139360695014,792.9130434782609,608.6419343885786,0.010690006535335887,0.91384274610962,0.9786941397997566,0.1295125696455617,9.0,-10.0
0.8,-0.6,15,8.009424098301679,0.005562779851612275,0.9252103095005988,0.8974350144193656,0.18314071669569776,786.95703125,684.4428349010869,0.010177714640378187,0.9212290638258771,0.9284700953575092,0.15667028407495884,12.0,-9.0
