dim0,dim1,episode_rewards,episode_std_rewards,episode_value_ests,episode_values,episode_td_err,episode_avg_len,episode_std_avg_len,step_rewards,step_value_ests,step_values,step_td_err,dim0,dim1
-0.7333333333333333,-0.4,6.5128189242078305,0.3261629864853488,14.398439293005262,3.9832006228516907,6.0818656127916775,37.56169014084507,11.900723809515632,0.1733899326624205,14.832022914325846,3.8742826603105054,6.472365352946647,-11.0,-6.0
0.3333333333333333,0.3333333333333333,15.407093117264072,0.4314743843646227,11.771440131364349,9.596259096397718,2.4052478085667035,6.173282301376628,1.1800290080263613,2.4957700563650436,11.757716668158197,9.617057992836363,2.374756972215291,5.0,5.0
-0.5333333333333333,-0.8,7.884740020227132,0.3566120320787949,10.198854223721,4.49191652623684,3.413825597784915,16.36811523037892,5.5767764164227325,0.4817133744020326,10.472045470708862,4.641344288061498,3.2935213806739143,-8.0,-12.0
0.7333333333333333,-0.9333333333333333,-8.122362597757197,1.1111349596706044,11.467607548608658,-6.562114367257324,39.5885900763763,4.999450068741408,0.24857991379255712,-1.6246512088482508,11.459915329495452,-6.572479987788527,39.465717530965875,11.0,-14.0
-0.5333333333333333,-0.06666666666666667,5.173912195889704,0.20348954272771652,16.86630331593544,3.587102858981603,9.49018335010004,38.140160183066364,5.561698562247055,0.13565522984318354,16.854884026072927,3.837178604847007,9.326289672949905,-8.0,-1.0
-0.4666666666666667,-0.8666666666666667,6.919001707646847,0.41557623243062713,10.076366834582524,3.9377373960386377,4.120905403807127,14.449895238783325,4.52468366334182,0.4788271190421048,10.209537624048037,3.984705956664831,3.9664064990040546,-7.0,-13.0
0.8,0.4,5.1603537832440525,0.6085628625029047,11.277476911265559,3.509762874589115,9.85397291060092,4.962853598014888,0.19172663517606953,1.0397956903883208,11.26133123698478,3.5079656524327905,9.815122689365763,12.0,6.0
0.5333333333333333,1.0,14.68471430684148,0.3413775545141414,11.43903447692552,9.101412482983516,2.024702743983875,5.771563789570888,0.6976406094414221,2.5443215811590774,11.39254477239404,9.082057941316958,2.021034638753548,8.0,15.0
-0.4,-0.5333333333333333,12.453082134895656,0.3392124188026895,11.450021336350325,6.846807057823714,3.197302960676002,25.748326467559217,11.6957821703916,0.48364627311159497,12.102025482643723,7.071403942246372,3.6011120722527252,-6.0,-8.0
0.9333333333333333,-0.2,-6.089634461780709,0.8440455781138806,11.301153787288488,-4.704995874588773,30.651186590979698,4.96793263618073,0.17925392971549078,-1.2257884532150836,11.287611275865808,-4.718108936709114,30.589793972920194,14.0,-3.0
0.4666666666666667,0.13333333333333333,11.931701317812033,0.5033693167034001,11.69822266166498,7.832589021851688,4.519088797191382,5.152617477328937,0.4802330856764268,2.315658278595387,11.694494677494136,7.849242538424429,4.482370209018372,7.0,2.0
-0.5333333333333333,0.8666666666666667,3.104521221293017,0.21285046352798276,17.038691014929206,3.9109385641076946,10.027674616421786,34.39202200825309,3.356976297088352,0.0902686448778156,17.038252335703145,4.202113134359183,9.92275612128257,-8.0,13.0
0.06666666666666667,-0.4666666666666667,12.179835492151886,0.6897449854322383,12.02655352091033,7.696009213121153,4.110637934762417,8.04416200780276,3.0805558984807573,1.514121107995782,11.947934088587973,7.476724603620529,4.045091807376594,1.0,-7.0
0.0,0.3333333333333333,32.57757115289076,0.303614412385166,12.715352206767918,16.70722852739277,2.7588769787410454,41.74457429048414,14.110902252562582,0.7804025243183991,12.86240442324131,17.105465360007585,2.854425463033576,0.0,5.0
0.6,1.0,13.95611857230398,0.3347668586546878,11.586078230471381,9.13807796342165,2.1515307412367717,5.308419152776303,0.500031038550871,2.6290536166506238,11.552724824489205,9.122446683284272,2.1522878259157627,9.0,15.0
-0.4,-0.3333333333333333,11.870911897814135,0.32341645763244753,14.253901689861312,5.889132694891861,6.2896251719403,39.91578527240072,13.32396077858106,0.29739893169588055,14.656559320990798,5.701936831283904,6.680071127155057,-6.0,-5.0
0.8,0.06666666666666667,1.5066407842482394,0.7235913766116562,11.303028689519317,0.7298026561467267,15.660779232469459,4.9569980419857735,0.20852476759584837,0.3039421786103186,11.284445090723857,0.7221256756695038,15.60086330660327,12.0,1.0
-0.6666666666666666,0.3333333333333333,-0.6235421624901233,0.22727439302773927,17.033022994576047,1.6262989874214822,10.370374938672452,33.98216106014271,3.5115248076738834,-0.018349102677329983,17.03176592169438,1.9210524553004031,10.24549348197804,-10.0,5.0
-0.5333333333333333,0.7333333333333333,3.643698192982766,0.21917365785027848,17.03800414946849,4.002979716653088,10.034671643642408,34.43208813909451,3.4366975116655785,0.1058227481953288,17.037301253799477,4.302551388753697,9.92521005529424,-8.0,11.0
-0.4666666666666667,-0.26666666666666666,9.279467444288562,0.2771247113180824,15.567445530683733,4.647153021082085,7.876403053699725,41.35814722911497,11.067314982322637,0.224368548060975,15.666047543401303,4.651862829238411,7.890848529098677,-7.0,-4.0
0.0,0.8666666666666667,38.867935074328166,0.15902498277743035,13.396584619994117,21.75218892734258,1.4149258227731496,42.04961109943242,7.644292612121677,0.9243351854650756,13.491661026483415,22.078915498497974,1.4112889030769913,0.0,13.0
0.9333333333333333,-0.06666666666666667,-4.613778897129041,0.7885087004583735,11.290274534690742,-3.580809034610562,26.842658323672744,4.969290399522958,0.17481873892147604,-0.9284582960923264,11.277181383375448,-3.5918603269816587,26.787329639698456,14.0,-1.0
-0.4,-0.9333333333333333,5.885740207874911,0.499933869354863,10.133883609397644,3.4461678720701903,4.941912589711088,12.803405671851994,3.7661396175817714,0.4597011419246507,10.135576509173696,3.3385554783224203,4.804246402372679,-6.0,-14.0
