dim0,dim1,episode_rewards,episode_value_ests,episode_values,episode_td_err,episode_avg_len,step_rewards,step_value_ests,step_values,step_td_err,dim0,dim1
-0.75,-0.5,10.576811390221119,11.813373530864716,6.223946040091736,6.1649357400461255,5.64,1.8753211684789217,11.804030130095516,6.283517439008333,6.0674394244989625,-3.0,-2.0
1.0,-0.25,16.564430931955577,12.322726852835235,10.239435977594338,2.9360437909735286,9.48,1.747302840923584,12.365912964889771,10.022010605729614,3.0111635824036402,4.0,-1.0
0.25,-1.0,1.1876312776654958,11.562427634954451,-0.4517459624136989,18.51236947843189,5.0,0.23752625553309917,11.562427634954453,-0.4517459624136989,18.51236947843189,1.0,-4.0
-0.25,-0.75,7.561862288415432,11.6843873546975,4.183765734661951,8.622241652140351,5.32,1.4214026857923745,11.704966030454726,4.165838816846069,8.569056124193084,-1.0,-3.0
1.0,0.25,10.03416958293179,16.287788765332735,5.9528865309922345,9.336671266555054,35.88,0.27965912995908,16.289392536167583,6.341764300968029,9.214214718178606,4.0,1.0
0.75,-1.0,2.0361928417347372,11.148418763995174,0.23323158865034693,15.588617241818419,5.04,0.40400651621720973,11.15482741014825,0.2290114360409729,15.609193567718927,3.0,-4.0
0.25,-0.5,12.490815261751413,12.057510870828514,7.853737197772646,4.82275796016664,5.76,2.168544316276287,12.128811471733368,7.948248552895336,4.820785530570243,1.0,-2.0
1.0,0.5,2.503111397633329,16.48214452992534,2.680768889570446,9.563018845181341,33.48,0.07476437866288319,16.482278537864183,2.9859793999672273,9.465990774036968,4.0,2.0
0.75,-0.25,15.435484259384685,12.26205453018769,9.490568440833753,3.4071780384909824,9.08,1.6999432003727626,12.29982594206995,9.398310418976038,3.4603240160505226,3.0,-1.0
0.75,0.75,-3.2137396417977286,16.51740892147543,0.1667353566596142,10.019658491591908,33.24,-0.09668290137778968,16.516049856743656,0.3962093046035892,9.911228634302633,3.0,3.0
-0.75,0.75,1.8536295938212424,16.48968048218737,2.329949491237003,8.27357023449992,40.96,0.04525462875540143,16.488974697887897,2.593024755400043,8.030703734754914,-3.0,3.0
-0.5,-1.0,2.7215657559456305,11.661641205906868,0.9364197205245517,15.354712629391775,5.0,0.544313151189126,11.661641205906868,0.9364197205245516,15.354712629391774,-2.0,-4.0
0.5,0.25,9.907474252134561,16.07314376556737,5.299472716351633,9.321590593381526,38.2,0.25935796471556444,16.091598489272034,5.627191357359025,9.196870534917405,2.0,1.0
0.75,0.25,12.622490855078214,16.144454010546365,6.6713430013307695,8.962500416792615,38.68,0.32633120101029506,16.153975904912464,7.124782873598296,8.795620606670198,3.0,1.0
0.5,0.75,-4.5031468466654765,16.512119919815166,-0.6110938586611748,10.228709677349862,32.28,-0.13950269041714614,16.51254786759652,-0.38647883444038555,10.146368136770345,2.0,3.0
-0.25,-1.0,0.9909793985635043,11.601112385749818,-0.6270204296943828,18.405273659310172,5.08,0.1950746847565953,11.60649274582938,-0.637335802879296,18.367475747972055,-1.0,-4.0
-0.25,-0.25,14.685178891047835,12.292101761302085,9.049106985290841,3.8232267894082805,7.28,2.017194902616461,12.426840604661585,8.819821000491189,3.87390111410054,-1.0,-1.0
-0.25,0.25,10.73535760703031,15.889487632314879,4.60092439877695,8.506236415950834,47.64,0.22534335866982177,15.911872336686308,4.875260448529323,8.107632313813411,-1.0,1.0
-1.0,0.25,-0.2314066984411329,15.529825469565235,-0.76054048176704,8.189756896821818,51.76,-0.004470763107440744,15.51461910169681,-0.9297268346190817,7.807257519310711,-4.0,1.0
-0.5,-0.5,10.622117282003165,12.18553021743184,6.589089508181662,6.160473565776325,5.8,1.831399531379856,12.25504405210758,6.563801292841498,6.297060361843321,-2.0,-2.0
0.0,0.0,15.723079524335917,12.705243930262546,8.142074314411785,4.023611321353154,28.0,0.5615385544405684,12.604985874635833,7.005411383789539,4.870589456817394,0.0,0.0
0.25,-0.75,7.165595493270084,11.945247122486432,4.290206903215878,9.91341241576424,5.04,1.4217451375535881,11.934898169149482,4.299146970399471,9.852587888326806,1.0,-3.0
1.0,-1.0,2.460856080800295,11.52751294338703,0.6763498819609325,15.871911606960662,4.96,0.4961403388710272,11.511930730193853,0.6839350455841929,15.76330843194079,4.0,-4.0
0.5,0.5,2.019668489722535,16.439949563248675,2.4323193895141046,9.637516115526983,34.16,0.05912378482794306,16.439355184657792,2.652841649456974,9.519135199096722,2.0,2.0
0.75,-0.5,12.594854290485381,12.3806964402634,7.9837227446962675,5.511131582459885,5.8,2.1715266018078245,12.413765939453553,8.08962281533576,5.217913459549348,3.0,-2.0
0.0,1.0,-13.564081116691233,16.51231259282645,-4.992888525107624,10.891901716024963,32.24,-0.42072211900407047,16.512318215949957,-4.917182597135862,10.820368952485815,0.0,4.0
-1.0,0.0,13.89614064056659,12.28491166974163,7.592186085042482,4.161323788498247,16.28,0.8535712924180953,12.1466808884384,7.736241772655467,4.322154523025722,-4.0,0.0
0.5,0.0,17.794502640762367,12.636170548351826,9.6217607441231,4.326211364349586,28.0,0.6355179514557988,12.732500688199487,8.941050376336714,5.289487699716795,2.0,0.0
-0.25,0.5,7.867136040325277,16.42863636157928,4.504763201889667,8.388080487699032,39.88,0.1972702116430611,16.426266086735243,4.83729918086731,8.203922523803744,-1.0,2.0
0.25,0.75,-2.938726777289994,16.495605660195555,-0.14196353968059644,9.580612194347859,34.8,-0.08444617176120672,16.49661465568104,-0.11691168112966814,9.521914554102205,1.0,3.0
